id,name,from,to,building,floor,weight,length,type,left,right
1,,1,2,8,5,1,4.1,1,,
2,,3,4,8,5,1,2.5,1,,
3,,4,5,8,5,1,6.5,1,,
4,,5,6,8,5,1,5,1,,
5,,5,7,8,5,1,4.5,1,,
6,,8,9,8,5,1,5.200000000000003,1,,
7,,2,10,8,4,5,4.375,2,,
8,,6,14,8,4,5,4.375,2,,
9,,3,16,8,4,1,4.375,4,,
10,,9,18,8,4,5,4.375,2,,
11,F_Toilet,10,11,8,4,1,4.8,1,F_Toilet,
12,,11,12,8,4,1,32,1,,
13,,12,13,8,4,1,5.8,1,,
14,,13,14,8,4,1,5.100000000000001,1,,
15,,13,15,8,4,1,6.399999999999999,1,,
16,,15,16,8,4,1,2.5,1,,
17,M841;8401;8402;8403;8404;8405;8406;8407;8408;8409;8410;8419;8420;8421;8422;8423;8424,12,17,8,4,1,40.00000000000001,1,8424;8423;8422;8421;8420;8419,M841;8410;8409;8408;8407;8406;8405;8404;8403;8302;8401
18,M_Toilet,17,18,8,4,1,4.8,1,M_Toilet,
19,8430;8431;8432;8433;8434;8435;8436;8437;8438,17,19,8,4,1,19.5,1,8438;8437;8436;8435,8434;8433;8432;8431;8430
20,,10,20,8,3,5,4.025,2,,
21,,14,25,8,3,5,4.025,2,,
22,,18,29,8,3,5,4.025,2,,
23,,16,27,8,3,1,4.025,4,,
24,F_Toilet,20,21,8,3,1,4.9,1,F_Toilet,
25,8311;8312;8313;8314;8315;8316;8317;8318;8325;8326;8327;8328;8329;Boilerroom,21,22,8,3,1,32,1,8311;8312;8313;8314;8315;8316;8317;8318,8329;8328;8327;8326;8325
26,,22,23,8,3,1,6,1,,
27,,22,24,8,3,1,5.9,1,,
28,,24,25,8,3,1,5.100000000000001,1,,
29,,24,26,8,3,1,6.399999999999999,1,,
30,,26,27,8,3,1,2.5,1,,
31,8301;8302;8303;8304;8305;8306;8307;8308;8309;8310;8319;8320;8321;8322;8323;8324;M831,22,28,8,3,1,40.00000000000001,1,8310;8309;8308;8307;8306;8305;8304;8303;8302;8301,8324;8323;8322;8321;8320;8319;M831
32,M_Toilet,28,29,8,3,1,4.9,1,M_Toilet,
33,,20,30,8,2,5,4.375,2,,
34,,25,36,8,2,5,7.565092530828688,2,,
35,,29,39,8,2,5,4.375,2,,
36,,27,34,8,2,1,4.375,4,,
37,,30,31,8,2,1,3.4,1,,
38,F_Toilet,31,32,8,2,1,5.4,1,,F_Toilet
39,824,31,33,8,2,1,22.2,1,,824
40,,33,34,8,2,1,3.5,1,,
41,823,33,35,8,2,1,17,1,,823
42,,35,36,8,2,1,3.8,1,,
43,822;821,35,37,8,2,1,25.4,1,,822;821
44,M_Toilet,37,38,8,2,1,5.8,1,M_Toilet,
45,,37,39,8,2,1,4.000000000000007,1,,
46,,30,40,8,1,5,4.374999999999998,2,,
47,,34,44,8,1,1,4.457647922391358,4,,
48,,36,46,8,1,5,4.385273651666449,2,,
49,,39,49,8,1,5,4.374999999999998,2,,
50,,40,41,8,1,1,3.4,1,,
51,F_Toilet,41,42,8,1,1,5.4,1,,F_Toilet
52,814,41,43,8,1,1,22.5,1,,814
53,,43,44,8,1,1,2.7,1,,
54,813,43,45,8,1,1,16.999999999999996,1,,813
55,,45,46,8,1,1,3.8,1,,
56,812;811,45,47,8,1,1,25.39999999999999,1,,812;811
57,M_Toilet,47,48,8,1,1,5.8,1,M_Toilet,
58,,47,49,8,1,1,3.700000000000003,1,,
