id,name,from,to,building,floor,weight,length,type,left,right
1,,1,2,10,1,1,6,1,,
2,,2,22,10,1,1,14.299999999999999,1,,
3,,22,3,10,1,1,5.1,1,,
4,,22,23,10,1,1,6.699999999999999,1,,
5,10101,3,4,10,1,1,24.9,1,10101,
6,,23,26,10,1,1,16.19135571840728,3,,
7,,4,24,10,1,1,6.1,1,,
8,,24,5,10,1,1,17.299999999999997,1,,
9,,24,25,10,1,1,8.300000000000004,1,,
10,10102,4,6,10,1,1,24,1,10102,
11,10103,6,7,10,1,1,33.4,1,,10103
12,M_Toilet,7,8,10,1,1,8.199999999999996,1,M_Toilet,
13,,6,9,10,1,1,6.399999999999999,1,,
14,,9,10,10,1,1,8.900000000000006,1,,
15,,10,11,10,1,1,4.5,1,,
16,,9,12,10,1,1,10.100000000000001,1,,
17,,12,13,10,1,1,5.099999999999994,1,,
18,M_Toilet;F_Toilet;C_Toilet,13,14,10,1,1,3.0999999999999943,1,C_Toilet,M_Toilet;F_Toilet
19,101A;101B;101C;101D;,13,15,10,1,1,26.4,1,101A;101B;101C;101D;,
20,101E;101F;101G,15,16,10,1,1,21.000000000000007,1,101E;101F;101G,
21,101H,16,17,10,1,1,10.400000000000006,1,101H,
22,,17,18,10,1,1,4.599999999999994,1,,
23,F_Toilet,18,19,10,1,1,4.299999999999997,1,F_Toilet,
24,,17,20,10,1,1,5.000000000000007,1,,
25,,20,21,10,1,1,13,1,,
26,,17,43,10,1,5,5.249761899362673,2,,
27,,8,33,10,1,5,5.000999900019995,2,,
28,,15,42,10,1,5,5.249761899362673,2,,
29,,11,39,10,1,1,5,4,,
30,,18,44,10,1,1,5,4,,
31,,12,34,10,1,1,6,1,,
32,,34,40,10,1,5,5,2,,
33,,25,35,10,1,5,16.099068296022597,2,,
34,10201,27,28,10,2,1,16.8,1,,10201
35,,26,27,10,2,1,4.900000000000002,1,,
36,,27,29,10,2,1,2.799999999999997,1,,
37,,29,30,10,2,1,13.399999999999999,1,,
38,10202,29,31,10,2,1,23.6,1,10202,
39,10203,31,32,10,2,1,23.4,1,,10203
40,F_Toilet,32,33,10,2,1,8.5,1,F_Toilet,
41,,31,35,10,2,1,4.200000000000001,1,,
42,10204,35,36,10,2,1,5.1,1,10204,
43,,36,37,10,2,1,5.200000000000003,1,,
44,,37,46,10,2,1,5.199999999999999,1,,
45,,39,46,10,2,1,10.5,1,,
46,10215,46,38,10,2,1,5.600000000000001,1,,10215
47,,38,40,10,2,1,7.599999999999994,1,,
48,F_Toilet;M_Toilet,38,41,10,2,1,7.399999999999999,1,F_Toilet;M_Toilet,
49,10205;10206;10213;10214,41,42,10,2,1,24.1,1,10205;10206,10214;10213
50,10207;10208;10209;10210;10211;10212,42,43,10,2,1,31.400000000000006,1,10207;10208;10209,10212;10211;10210
51,,43,44,10,2,1,6.199999999999989,1,,
52,M_Toilet,44,45,10,2,1,4.299999999999997,1,M_Toilet,
53,,47,48,10,3,1,10.900000000000006,1,,
54,,48,49,10,3,1,3.799999999999997,1,,
55,,49,50,10,3,1,2.3000000000000007,1,,
56,,50,51,10,3,1,15.399999999999999,1,,
57,,51,52,10,3,1,3.5,1,,
58,,51,53,10,3,1,2.3000000000000007,1,,
59,10301;10302;10303;10304,50,54,10,3,1,31,1,10301,10302;10303;10304
60,M_Toilet,54,55,10,3,1,6,1,M_Toilet,
61,10315,48,56,10,3,1,5.600000000000001,1,,10315
62,,56,57,10,3,1,8,1,,
63,F_Toilet;M_Toilet,56,58,10,3,1,7.399999999999999,1,F_Toilet;M_Toilet,
64,10305;10306;10313;10314,58,59,10,3,1,24,1,10305;10306,10314;10313
65,10307;10308;10309;10310;10311;10312,59,60,10,3,1,31.500000000000007,1,10307;10308;10309,10312;10311;10310
66,,60,61,10,3,1,6.6000000000000085,1,,
67,F_Toilet,61,62,10,3,1,4.299999999999997,1,F_Toilet,
68,,60,43,10,3,5,5.015974481593782,2,,
69,,57,40,10,3,5,5,2,,
70,,63,47,10,4,1,5,4,,
71,,63,64,10,4,1,7,1,,
72,,64,65,10,4,1,3.3000000000000007,1,,
73,,65,66,10,4,1,1.1000000000000014,1,,
74,10301,67,68,10,4,1,27.9,1,10301,
75,,67,52,10,4,1,19.941163456528813,3,,
76,F_Toilet,68,69,10,4,1,2.700000000000003,1,,
77,,68,55,10,4,5,5.4230987451824975,2,,
78,,64,70,10,4,1,8.399999999999999,1,,
79,,70,71,10,4,1,5.600000000000001,1,,
80,F_Toilet;M_Toilet;C_Toilet,71,72,10,4,1,12.599999999999994,1,,F_Toilet;M_Toilet;C_Toilet
81,Sky_Terrace;SUBWAY,71,73,10,4,1,57.5,1,Sky_Terrace;SUBWAY,
82,,73,74,10,4,1,5,1,,
83,,74,75,10,4,1,5.900000000000006,1,,
84,,75,76,10,4,1,6.799999999999997,1,,
85,,75,60,10,4,5,5.049752469181039,2,,
86,,76,61,10,4,1,5.0734603575863275,4,,
87,,61,44,10,3,1,5,4,,
88,,66,92,10,5,5,32.78490506315367,2,,
89,,77,78,10,5,1,4.400000000000006,1,,
90,105T,78,79,10,5,1,7.699999999999999,1,105T,
91,,79,91,10,5,1,29.799999999999997,2,,
92,105A;105B;105C;105D;105U;105V;105W;105X,79,80,10,5,1,29.8,1,105U;105V;105W;105X,105D;105C;105B;105A;
93,M_Toilet,80,81,10,5,1,2.6999999999999993,1,,M_Toilet
94,,80,82,10,5,1,2.8999999999999986,1,,
95,,82,68,10,5,1,5.024937810560445,2,,
96,,78,83,10,5,1,5.899999999999999,1,,
97,105S;F_Toilet;M_Toilet,83,84,10,5,1,7.200000000000003,1,F_Toilet;M_Toilet,105S
98,105E;105F;105G;105O;105P;105Q;105R,84,85,10,5,1,30.299999999999997,1,105E;105F;105G;,105R;105Q;105P;105O
99,105H;105I;105J;105L;105K;105M;105N,85,86,10,5,1,25.89999999999999,1,105H;105I;105J;,105N;105M;105L;105K
100,F_Toilet,86,87,10,5,1,4.5,1,F_Toilet,
101,,86,88,10,5,1,2.799999999999997,1,,
102,,86,76,10,5,1,5.072474741188958,4,,
103,,88,75,10,5,5,5.943904440685433,2,,
104,,89,67,10,5,1,22.176789668479966,5,,
105,,65,53,10,3,1,19.943419967498055,2,,
106,,89,90,10,5,1,10.799999999999997,1,,
107,,90,91,10,5,1,2,1,,
108,,91,92,10,5,1,3,1,,
109,,91,93,10,5,1,6.700000000000003,1,,
110,,33,55,10,5,5,5.561474624593732,2,,
111,,63,77,10,4,1,5,4,,
112,,39,47,10,4,1,5,4,,
113,,57,72,10,3,5,5.000999900019995,2,,
114,,72,83,10,3,5,5.258326730053961,2,,
115,,5,30,10,1,5,5,2,,
116,,36,49,10,1,5,7.071067811865474,2,,
117,,26,52,10,2,1,16.572265988693275,3,,
118,,42,59,10,2,5,5.016971197844374,2,,
